AppId, UserId, TimeStamp, OnBattery, ScreenOn, BatterySaverActive, LowPowerEpochActive, Foreground, InteractivityState, Container, Committed, TimeInMSec, MeasuredBitmap, EnergyLoss, CPUEnergyConsumption, SocEnergyConsumption, DisplayEnergyConsumption, DiskEnergyConsumption, NetworkEnergyConsumption, MBBEnergyConsumption, OtherEnergyConsumption, EmiEnergyConsumption, CPUEnergyConsumptionWorkOnBehalf, CPUEnergyConsumptionAttributed, TotalEnergyConsumption
\Device\HarddiskVolume2\Desktop\code\workshops\carbon_efficent_rust\backend\rust_carbon_backend_site\target\debug\rust_carbon_backend_site.exe, S-1-5-21-874385563-2004735823-480103752-1001, 2021-04-22:03:37:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 59994, b000000000, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 213
\Device\HarddiskVolume2\Applications\Scoop\apps\nodejs-lts\14.15.4\node.exe, S-1-5-21-874385563-2004735823-480103752-1001, 2021-04-22:04:53:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 60011, b000000000, 0, 336, 0, 0, 6173, 0, 0, 0, 0, 0, 0, 6509
\Device\HarddiskVolume5\Users\color\AppData\Local\Programs\Python\Python38\python.exe, S-1-5-21-874385563-2004735823-480103752-1001, 2021-04-22:05:55:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 59987, b000000000, 0, 4345, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4345
